City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Punta Arenas,-53.15,-70.9167,46.4,57,0,8.05,1619028968
Castro,-24.7911,-50.0119,68.81,56,29,7.49,1619029144
Yumen,40.2833,97.2,61.77,14,87,7.38,1619029144
Kaitangata,-46.2817,169.8464,53.01,83,100,1.99,1619029144
Kloulklubed,7.0419,134.2556,77.0,94,40,3.83,1619029145
Saint Paul Harbor,57.79,-152.4072,41.0,87,90,19.57,1619029145
Vaini,-21.2,-175.2,71.6,100,40,3.44,1619029146
Mahébourg,-20.4081,57.7,77.0,94,75,8.05,1619028977
Rikitea,-23.1203,-134.9692,77.99,73,30,11.81,1619029146
Great Falls,47.5002,-111.3008,50.0,31,1,16.11,1619028858
Boddam,57.4667,-1.7833,46.0,61,26,9.22,1619029147
Hithadhoo,-0.6,73.0833,83.01,66,72,4.85,1619028872
Saint Anthony,45.0205,-93.218,42.01,35,90,10.36,1619029147
Cayenne,4.9333,-52.3333,84.2,79,75,13.8,1619029148
Atuona,-9.8,-139.0333,81.09,68,32,22.24,1619028913
Bluff,-46.6,168.3333,46.99,97,100,9.08,1619029148
Sibolga,1.7427,98.7792,77.09,87,99,2.46,1619028943
Sambava,-14.2667,50.1667,76.57,88,100,9.62,1619029149
Msanga,-6.05,36.0333,73.4,68,20,11.5,1619029149
Port Blair,11.6667,92.75,81.46,76,21,6.42,1619028920
Tasiilaq,65.6145,-37.6368,28.4,50,20,14.97,1619029150
Barrow,71.2906,-156.7887,17.6,79,75,8.05,1619029150
Vila Velha,-20.3297,-40.2925,84.0,57,20,10.36,1619029082
Lüderitz,-26.6481,15.1594,67.33,71,100,9.06,1619029151
Pevek,69.7008,170.3133,20.14,68,61,18.01,1619029151
Gazli,40.1333,63.45,57.87,24,42,17.6,1619029152
Ushuaia,-54.8,-68.3,50.0,50,0,1.77,1619029074
Guasdualito,7.2424,-70.7324,96.15,29,59,3.29,1619029152
Albany,42.6001,-73.9662,48.0,63,99,7.0,1619028889
Provideniya,64.3833,-173.3,31.57,45,98,3.62,1619029153
Arrondissement de Verdun,49.25,5.3333,57.0,77,72,1.99,1619029153
Busselton,-33.65,115.3333,53.01,93,72,10.38,1619029153
Rexburg,43.826,-111.7897,50.0,25,1,8.05,1619029095
Kostomuksha,64.571,30.5767,37.13,84,100,2.8,1619028926
Ponta do Sol,32.6667,-17.1,66.0,69,86,4.0,1619029154
Lebu,-37.6167,-73.65,55.99,81,86,15.48,1619029154
Mataura,-46.1927,168.8643,46.99,97,100,3.62,1619029155
New Norfolk,-42.7826,147.0587,53.01,63,93,4.0,1619029155
Porlamar,10.958,-63.8491,80.51,72,13,17.56,1619029156
Okato,-39.2,173.8833,51.01,90,84,3.0,1619029156
Campo Grande,-20.4428,-54.6464,84.2,37,40,5.75,1619029157
Half Moon Bay,37.4636,-122.4286,62.01,93,75,6.91,1619029157
Cape Town,-33.9258,18.4232,64.99,82,0,11.5,1619028968
Gunnedah,-30.9833,150.25,43.0,77,0,3.0,1619029157
Puerto Ayora,-0.7393,-90.3518,80.6,83,75,11.5,1619029158
Tuktoyaktuk,69.4541,-133.0374,10.4,79,90,24.16,1619029158
Belmonte,-15.8631,-38.8828,80.6,74,75,9.22,1619029159
Tiksi,71.6872,128.8694,9.75,90,100,11.36,1619029159
Severo-Kuril'sk,50.6789,156.125,35.51,90,100,11.3,1619029159
Rio Grande,-32.035,-52.0986,75.2,60,75,23.02,1619029160
Torbay,47.6666,-52.7314,51.01,57,75,19.57,1619029160
Vila Franca do Campo,37.7167,-25.4333,62.6,94,75,12.66,1619029160
Şarkîkaraağaç,38.0794,31.3664,51.3,36,76,5.44,1619029161
Tchibanga,-2.85,11.0333,75.63,91,95,1.92,1619029161
